Angle,Range
10.0,2.0940642634771303
11.794871794871796,2.4032383421432275
13.58974358974359,2.6913790267013877
15.384615384615385,2.9583858590366603
17.17948717948718,3.204235408599857
18.974358974358974,3.4289750770683685
20.76923076923077,3.6327171708303823
22.564102564102562,3.8156332566381326
24.358974358974358,3.97794881071092
26.153846153846153,4.119938167184959
27.94871794871795,4.241919768050634
29.743589743589745,4.344251713533831
31.53846153846154,4.427327609212368
33.333333333333336,4.491572703958446
35.128205128205124,4.5374403110127375
36.92307692307692,4.565408503077458
38.717948717948715,4.575977071219522
40.51282051282051,4.5696647365593
42.30769230769231,4.547006603147166
44.1025641025641,4.508551840064336
45.8974358974359,4.4548615805947875
47.69230769230769,4.386507026273116
49.48717948717949,4.304067743693653
51.282051282051285,4.208130142146697
53.07692307692308,4.099286120408333
54.871794871794876,3.9781318713339373
56.66666666666667,3.845266833276627
58.46153846153846,3.7012927777577502
60.256410256410255,3.5468130232456474
62.05128205128205,3.3824317653415696
63.84615384615385,3.2087535141197083
65.64102564102564,3.0263826298147647
67.43589743589743,2.8359229484895003
69.23076923076923,2.637977489741429
71.02564102564102,2.4331482389181573
72.82051282051282,2.2220359967017016
74.61538461538461,2.005240289290486
76.41025641025641,1.783359332751823
78.2051282051282,1.5569900454354872
80.0,1.3267281026293962
